nama_kabupaten_kota,jumlah_kematian,satuan,tahun
KABUPATEN SUMEDANG,187,ORANG,2023
KABUPATEN INDRAMAYU,194,ORANG,2023
KABUPATEN SUBANG,136,ORANG,2023
KABUPATEN PURWAKARTA,118,ORANG,2023
KABUPATEN KARAWANG,203,ORANG,2023
KABUPATEN BEKASI,181,ORANG,2023
KABUPATEN BANDUNG BARAT,186,ORANG,2023
KABUPATEN PANGANDARAN,38,ORANG,2023
KOTA BOGOR,155,ORANG,2023
KOTA SUKABUMI,60,ORANG,2023
KOTA BANDUNG,157,ORANG,2023
KOTA CIREBON,57,ORANG,2023
KOTA BEKASI,194,ORANG,2023
KOTA DEPOK,233,ORANG,2023
KOTA CIMAHI,75,ORANG,2023
KOTA TASIKMALAYA,113,ORANG,2023
KOTA BANJAR,37,ORANG,2023
