nama_kabupaten_kota,jumlah_kematian,satuan,tahun
KABUPATEN MAJALENGKA,"11,0",JIWA,"2022,0"
KABUPATEN SUMEDANG,"9,0",JIWA,"2022,0"
KABUPATEN INDRAMAYU,"20,0",JIWA,"2022,0"
KABUPATEN SUBANG,"8,0",JIWA,"2022,0"
KABUPATEN PURWAKARTA,"11,0",JIWA,"2022,0"
KABUPATEN KARAWANG,"32,0",JIWA,"2022,0"
KABUPATEN BEKASI,"11,0",JIWA,"2022,0"
KABUPATEN BANDUNG BARAT,"0,0",JIWA,"2022,0"
KABUPATEN PANGANDARAN,"3,0",JIWA,"2022,0"
KOTA BOGOR,"9,0",JIWA,"2022,0"
KOTA SUKABUMI,"2,0",JIWA,"2022,0"
KOTA BANDUNG,"18,0",JIWA,"2022,0"
KOTA CIREBON,"4,0",JIWA,"2022,0"
KOTA BEKASI,"4,0",JIWA,"2022,0"
KOTA DEPOK,"10,0",JIWA,"2022,0"
KOTA CIMAHI,"7,0",JIWA,"2022,0"
KOTA TASIKMALAYA,"12,0",JIWA,"2022,0"
KOTA BANJAR,"6,0",JIWA,"2022,0"
KABUPATEN BOGOR,"70,0",JIWA,"2023,0"
KABUPATEN SUKABUMI,"28,0",JIWA,"2023,0"
KABUPATEN CIANJUR,"34,0",JIWA,"2023,0"
KABUPATEN BANDUNG,"22,0",JIWA,"2023,0"
KABUPATEN GARUT,"43,0",JIWA,"2023,0"
KABUPATEN TASIKMALAYA,"21,0",JIWA,"2023,0"
KABUPATEN CIAMIS,"7,0",JIWA,"2023,0"
KABUPATEN KUNINGAN,"8,0",JIWA,"2023,0"
KABUPATEN CIREBON,"21,0",JIWA,"2023,0"
KABUPATEN MAJALENGKA,"15,0",JIWA,"2023,0"
KABUPATEN SUMEDANG,"14,0",JIWA,"2023,0"
KABUPATEN INDRAMAYU,"17,0",JIWA,"2023,0"
KABUPATEN SUBANG,"14,0",JIWA,"2023,0"
KABUPATEN PURWAKARTA,"13,0",JIWA,"2023,0"
KABUPATEN KARAWANG,"32,0",JIWA,"2023,0"
KABUPATEN BEKASI,"21,0",JIWA,"2023,0"
KABUPATEN BANDUNG BARAT,"14,0",JIWA,"2023,0"
KABUPATEN PANGANDARAN,"0,0",JIWA,"2023,0"
KOTA BOGOR,"8,0",JIWA,"2023,0"
KOTA SUKABUMI,"4,0",JIWA,"2023,0"
KOTA BANDUNG,"18,0",JIWA,"2023,0"
KOTA CIREBON,"5,0",JIWA,"2023,0"
KOTA BEKASI,"18,0",JIWA,"2023,0"
KOTA DEPOK,"21,0",JIWA,"2023,0"
KOTA CIMAHI,"2,0",JIWA,"2023,0"
KOTA TASIKMALAYA,"11,0",JIWA,"2023,0"
KOTA BANJAR,"3,0",JIWA,"2023,0"
