nama_kabupaten_kota,jumlah_penduduk,satuan,tahun
KABUPATEN CIREBON,813824,ORANG,2015
KABUPATEN MAJALENGKA,580729,ORANG,2015
KABUPATEN SUMEDANG,481029,ORANG,2015
KABUPATEN INDRAMAYU,677201,ORANG,2015
KABUPATEN SUBANG,633116,ORANG,2015
KABUPATEN PURWAKARTA,371543,ORANG,2015
KABUPATEN KARAWANG,873995,ORANG,2015
KABUPATEN BEKASI,1344821,ORANG,2015
KABUPATEN BANDUNG BARAT,563252,ORANG,2015
KABUPATEN PANGANDARAN,192391,ORANG,2015
KOTA BOGOR,400983,ORANG,2015
KOTA SUKABUMI,133746,ORANG,2015
KOTA BANDUNG,1084989,ORANG,2015
KOTA CIREBON,126821,ORANG,2015
KOTA BEKASI,1081936,ORANG,2015
KOTA DEPOK,896981,ORANG,2015
KOTA CIMAHI,257105,ORANG,2015
KOTA TASIKMALAYA,301406,ORANG,2015
KOTA BANJAR,77929,ORANG,2015
KABUPATEN BOGOR,2351753,ORANG,2017
KABUPATEN SUKABUMI,1037532,ORANG,2017
KABUPATEN CIANJUR,846258,ORANG,2017
KABUPATEN BANDUNG,1584391,ORANG,2017
KABUPATEN GARUT,1044137,ORANG,2017
KABUPATEN TASIKMALAYA,762133,ORANG,2017
KABUPATEN CIAMIS,602123,ORANG,2017
KABUPATEN KUNINGAN,425700,ORANG,2017
KABUPATEN CIREBON,880807,ORANG,2017
KABUPATEN MAJALENGKA,569252,ORANG,2017
KABUPATEN SUMEDANG,505827,ORANG,2017
KABUPATEN INDRAMAYU,746020,ORANG,2017
KABUPATEN SUBANG,724308,ORANG,2017
KABUPATEN PURWAKARTA,392747,ORANG,2017
KABUPATEN KARAWANG,1010828,ORANG,2017
KABUPATEN BEKASI,1399743,ORANG,2017
KABUPATEN BANDUNG BARAT,671847,ORANG,2017
KABUPATEN PANGANDARAN,235561,ORANG,2017
KOTA BOGOR,448386,ORANG,2017
KOTA SUKABUMI,130909,ORANG,2017
KOTA BANDUNG,1116529,ORANG,2017
KOTA CIREBON,142246,ORANG,2017
KOTA BEKASI,1266692,ORANG,2017
KOTA DEPOK,1009401,ORANG,2017
KOTA CIMAHI,272017,ORANG,2017
KOTA TASIKMALAYA,290396,ORANG,2017
KOTA BANJAR,84032,ORANG,2017
KABUPATEN BOGOR,2356875,ORANG,2018
KABUPATEN SUKABUMI,1027606,ORANG,2018
KABUPATEN CIANJUR,881180,ORANG,2018
KABUPATEN BANDUNG,1575661,ORANG,2018
KABUPATEN GARUT,1018544,ORANG,2018
KABUPATEN TASIKMALAYA,774131,ORANG,2018
KABUPATEN CIAMIS,583910,ORANG,2018
KABUPATEN KUNINGAN,432549,ORANG,2018
KABUPATEN CIREBON,890762,ORANG,2018
KABUPATEN MAJALENGKA,572120,ORANG,2018
KABUPATEN SUMEDANG,507378,ORANG,2018
KABUPATEN INDRAMAYU,776017,ORANG,2018
KABUPATEN SUBANG,711978,ORANG,2018
KABUPATEN PURWAKARTA,395512,ORANG,2018
KABUPATEN KARAWANG,1026586,ORANG,2018
KABUPATEN BEKASI,1472432,ORANG,2018
KABUPATEN BANDUNG BARAT,683877,ORANG,2018
KABUPATEN PANGANDARAN,231582,ORANG,2018
KOTA BOGOR,471775,ORANG,2018
KOTA SUKABUMI,132848,ORANG,2018
KOTA BANDUNG,1107986,ORANG,2018
KOTA CIREBON,148033,ORANG,2018
KOTA BEKASI,1325953,ORANG,2018
KOTA DEPOK,1028292,ORANG,2018
KOTA CIMAHI,273955,ORANG,2018
KOTA TASIKMALAYA,287233,ORANG,2018
KOTA BANJAR,85113,ORANG,2018
KABUPATEN BOGOR,2538637,ORANG,2019
KABUPATEN SUKABUMI,1031213,ORANG,2019
KABUPATEN CIANJUR,976058,ORANG,2019
KABUPATEN BANDUNG,1688206,ORANG,2019
KABUPATEN GARUT,1071026,ORANG,2019
KABUPATEN TASIKMALAYA,813411,ORANG,2019
KABUPATEN CIAMIS,593039,ORANG,2019
KABUPATEN KUNINGAN,453781,ORANG,2019
KABUPATEN CIREBON,955506,ORANG,2019
KABUPATEN MAJALENGKA,600450,ORANG,2019
KABUPATEN SUMEDANG,526229,ORANG,2019
KABUPATEN INDRAMAYU,818449,ORANG,2019
KABUPATEN SUBANG,762065,ORANG,2019
KABUPATEN PURWAKARTA,406779,ORANG,2019
KABUPATEN KARAWANG,1013472,ORANG,2019
KABUPATEN BEKASI,1619175,ORANG,2019
KABUPATEN BANDUNG BARAT,704266,ORANG,2019
KABUPATEN PANGANDARAN,223517,ORANG,2019
KOTA BOGOR,486867,ORANG,2019
KOTA SUKABUMI,140827,ORANG,2019
KOTA BANDUNG,1183193,ORANG,2019
KOTA CIREBON,138667,ORANG,2019
KOTA BEKASI,1383287,ORANG,2019
KOTA DEPOK,1112358,ORANG,2019
KOTA CIMAHI,272553,ORANG,2019
KOTA TASIKMALAYA,301081,ORANG,2019
KOTA BANJAR,88846,ORANG,2019
KABUPATEN BOGOR,2342939,ORANG,2020
KABUPATEN SUKABUMI,1036735,ORANG,2020
KABUPATEN CIANJUR,1054579,ORANG,2020
KABUPATEN BANDUNG,1569974,ORANG,2020
KABUPATEN GARUT,1052573,ORANG,2020
KABUPATEN TASIKMALAYA,877416,ORANG,2020
KABUPATEN CIAMIS,640767,ORANG,2020
KABUPATEN KUNINGAN,463164,ORANG,2020
KABUPATEN CIREBON,938217,ORANG,2020
KABUPATEN MAJALENGKA,625576,ORANG,2020
KABUPATEN SUMEDANG,574606,ORANG,2020
KABUPATEN INDRAMAYU,854045,ORANG,2020
KABUPATEN SUBANG,746284,ORANG,2020
KABUPATEN PURWAKARTA,384543,ORANG,2020
KABUPATEN KARAWANG,1028735,ORANG,2020
KABUPATEN BEKASI,1628231,ORANG,2020
KABUPATEN BANDUNG BARAT,656087,ORANG,2020
KABUPATEN PANGANDARAN,233143,ORANG,2020
KOTA BOGOR,449120,ORANG,2020
KOTA SUKABUMI,122662,ORANG,2020
KOTA BANDUNG,1167849,ORANG,2020
KOTA CIREBON,139334,ORANG,2020
KOTA BEKASI,1348530,ORANG,2020
KOTA DEPOK,1077600,ORANG,2020
KOTA CIMAHI,254699,ORANG,2020
KOTA TASIKMALAYA,315844,ORANG,2020
KOTA BANJAR,91602,ORANG,2020
KABUPATEN BOGOR,2445768,ORANG,2021
KABUPATEN SUKABUMI,1105875,ORANG,2021
KABUPATEN CIANJUR,1066323,ORANG,2021
KABUPATEN BANDUNG,1673019,ORANG,2021
