nama_kabupaten_kota,Pendidikan,2017,2018,2019,2020,2021,2022
KABUPATEN KUNINGAN,SMA/MA/Paket C,"75,25","79,12","77,4","78,03","79,03","77,93"
KABUPATEN CIREBON,SMA/MA/Paket C,"72,27","84,34","83,2","82,3","80,78","83,13"
KABUPATEN MAJALENGKA,SMA/MA/Paket C,"84,6","75,42","75,25","75,14","72,5","74,65"
KABUPATEN SUMEDANG,SMA/MA/Paket C,"54,42","46,3","51,19","54,57","52,97","65,3"
KABUPATEN INDRAMAYU,SMA/MA/Paket C,"72,85","72,59","67,43","69,79","71,46","73,77"
KABUPATEN SUBANG,SMA/MA/Paket C,"67,44","67,55","70,69","71,92","71,25","71,86"
KABUPATEN PURWAKARTA,SMA/MA/Paket C,"75,78","72,5","83,25","82,11","80,93","81,83"
KABUPATEN KARAWANG,SMA/MA/Paket C,"75,05","76,41","81,57","81,72","79,97","80,97"
KABUPATEN BEKASI,SMA/MA/Paket C,"100,62","88,8","91,19","92,07","90,35","93,13"
KABUPATEN BANDUNG BARAT,SMA/MA/Paket C,"73,04","62,42","65,88",67,"65,42","64,63"
KABUPATEN PANGANDARAN,SMA/MA/Paket C,"83,32","91,24","85,83","83,94","84,79","84,31"
KOTA BOGOR,SMA/MA/Paket C,"87,79","73,49","80,94","82,41","80,96","80,82"
KOTA SUKABUMI,SMA/MA/Paket C,"90,41","81,78","87,08","88,02","90,37","91,78"
KOTA BANDUNG,SMA/MA/Paket C,"85,38","93,33","94,9","95,41","95,4","93,5"
KOTA CIREBON,SMA/MA/Paket C,"92,99","74,78","87,4","87,12","87,01","87,37"
KOTA BEKASI,SMA/MA/Paket C,"90,83","115,68","107,42","105,35","103,6","105,12"
KOTA DEPOK,SMA/MA/Paket C,"89,3","103,06","105,89","105,14","102,64","101,06"
KOTA CIMAHI,SMA/MA/Paket C,"91,89","87,08","103,84","101,66","99,6","101,25"
KOTA TASIKMALAYA,SMA/MA/Paket C,"91,06","92,42","79,46","82,18","84,75","84,58"
KOTA BANJAR,SMA/MA/Paket C,"103,32","86,9","88,72","89,46","87,26","86,56"
KABUPATEN BOGOR,Perguruan Tinggi,"24,54","26,63","25,02",0,"25,42","25,96"
KABUPATEN SUKABUMI,Perguruan Tinggi,"10,42","10,4","10,06",0,"10,57","15,96"
KABUPATEN CIANJUR,Perguruan Tinggi,"7,26","6,44","5,99",0,"7,03","13,91"
KABUPATEN BANDUNG,Perguruan Tinggi,"17,22","19,56","20,27",0,"22,17","26,31"
KABUPATEN GARUT,Perguruan Tinggi,"12,32","10,02","9,7",0,"10,25","14,51"
KABUPATEN TASIKMALAYA,Perguruan Tinggi,"15,56","15,81","15,71",0,"16,03","19,38"
KABUPATEN CIAMIS,Perguruan Tinggi,"17,89","17,93","16,94",0,"17,55","38,65"
KABUPATEN KUNINGAN,Perguruan Tinggi,"15,86","15,38","16,76",0,"15,41","18,42"
KABUPATEN CIREBON,Perguruan Tinggi,"19,74","13,91","14,71",0,"11,72","16,69"
KABUPATEN MAJALENGKA,Perguruan Tinggi,"16,14","10,77","12,44",0,"15,87","14,78"
KABUPATEN SUMEDANG,Perguruan Tinggi,"23,5","23,9","24,25",0,"24,62","28,54"
KABUPATEN INDRAMAYU,Perguruan Tinggi,"10,96","9,03","13,24",0,"14,84","16,25"
KABUPATEN SUBANG,Perguruan Tinggi,12,"8,6","6,99",0,"6,86","12,26"
KABUPATEN PURWAKARTA,Perguruan Tinggi,"15,63","10,7","12,04",0,"10,16","18,53"
KABUPATEN KARAWANG,Perguruan Tinggi,"13,14","14,79","12,33",0,"12,58","19,65"
KABUPATEN BEKASI,Perguruan Tinggi,"21,44","23,39","23,45",0,"24,96","30,78"
KABUPATEN BANDUNG BARAT,Perguruan Tinggi,"13,05","13,94","12,17",0,"13,78","16,61"
KABUPATEN PANGANDARAN,Perguruan Tinggi,"9,43","6,53","6,73",0,"11,05","15,3"
KOTA BOGOR,Perguruan Tinggi,38,"31,31","33,7",0,"33,19","41,77"
KOTA SUKABUMI,Perguruan Tinggi,"27,47","28,91","28,85",0,"31,25","34,1"
KOTA BANDUNG,Perguruan Tinggi,"44,82","42,55","41,8",0,"41,09","48,7"
KOTA CIREBON,Perguruan Tinggi,"15,97","15,84","21,29",0,"22,64","25,57"
KOTA BEKASI,Perguruan Tinggi,"31,94","29,82","32,65",0,"35,83","42,92"
KOTA DEPOK,Perguruan Tinggi,"34,99","36,61","37,23",0,"35,74","42,85"
KOTA CIMAHI,Perguruan Tinggi,"28,27","25,49","28,77",0,"29,03","33,79"
KOTA TASIKMALAYA,Perguruan Tinggi,"22,92","19,63","19,64",0,"18,7","22,32"
KOTA BANJAR,Perguruan Tinggi,"16,48","17,63","17,07",0,"17,73","22,94"
